eST	ftsH	mba-np1	rpL22	thrS	ureG	valS	clonal_complex
211	54	2	1	1	1	1	
212	55	10	3	11	5	4	
213	1	2	1	2	2	31	
214	1	53	1	2	3	1	
215	1	52	2	1	3	1	
216	1	1	23	1	2	1	
217	2	2	1	1	2	9	
218	4	6	3	1	2	1	
219	4	37	3	4	5	4	
220	5	51	3	5	5	4	
221	8	46	22	1	2	1	
222	9	1	1	1	1	1	
223	9	50	1	1	1	28	
224	35	2	1	1	3	1	
225	1	2	1	1	3	1	
226	2	49	1	2	2	1	
227	2	49	3	2	2	1	
228	6	29	3	11	5	2	
229	6	29	3	27	5	2	
230	11	6	3	11	5	4	
231	13	7	2	1	2	9	
232	2	2	3	8	2	1	
233	2	7	1	1	2	1	
234	2	14	1	1	3	1	
235	2	55	1	1	2	8	
236	2	14	26	1	3	1	
237	4	6	3	5	5	4	
238	5	54	3	4	5	4	
239	1	1	1	2	2	1	
240	1	59	1	2	2	1	
241	1	2	1	32	2	1	
242	1	57	2	1	3	1	
243	1	58	2	1	3	1	
244	2	7	1	31	2	1	
245	2	2	28	33	2	1	
246	2	2	29	1	2	9	
247	2	14	1	34	3	1	
248	2	2	27	1	2	1	
249	4	60	3	4	5	4	
250	9	56	1	1	1	1	
251	63	55	1	1	2	1	
252	2	48	1	31	2	1	
253	2	55	1	1	2	1	
254	2	61	2	1	2	1	
255	2	62	2	1	2	1	
256	2	63	1	1	2	1	
257	6	6	3	35	5	4	
258	11	64	3	11	5	4	
259	61	4	3	5	5	4	
260	64	2	1	1	2	1	
261	61	6	3	5	5	4	
262	2	2	2	1	1	1	
263	2	6	3	11	5	2	
264	50	10	3	4	5	4	
265	6	29	3	11	5	4	
266	2	2	2	1	16	1	
267	65	1	1	1	2	1	
268	42	66	3	4	5	4	
269	6	67	3	11	5	4	
270	57	68	1	2	2	1	
271	1	69	1	1	2	1	
272	1	2	30	1	3	1	
273	2	14	32	1	2	1	
274	13	7	1	36	2	9	
275	1	1	1	37	2	1	
276	1	1	1	38	2	1	
277	1	2	2	39	3	1	
