pST	p_dnaE	p_gyrB	p_recA	p_dtdS	p_pntA	p_pyrC	p_tnaA
197	2	1	1	1	1	51	1
198	2	1	1	1	1	48	1
199	2	1	1	1	4	53	1
200	2	1	1	1	38	1	1
201	2	1	1	1	40	1	1
202	2	9	1	1	1	3	1
203	11	1	1	1	1	1	1
204	11	1	1	1	2	1	1
205	2	1	12	1	1	1	1
206	2	1	1	1	1	3	2
207	2	1	1	1	1	18	1
208	2	1	1	1	2	8	1
209	2	1	1	1	4	4	1
210	2	1	1	1	37	3	1
211	2	1	1	1	42	1	1
212	1	1	1	1	43	1	1
213	2	1	1	13	1	1	1
214	1	1	1	1	1	59	1
215	16	1	1	1	1	1	1
216	1	1	1	1	1	58	1
217	2	1	1	12	1	6	1
218	2	1	1	1	1	1	31
219	2	4	1	1	1	1	32
220	2	1	13	1	1	1	1
221	1	2	1	1	31	1	1
222	2	1	1	1	1	1	32
223	2	1	1	1	28	2	1
224	2	1	1	1	1	58	1
225	1	1	1	1	3	3	1
226	1	1	1	1	2	4	1
227	1	1	1	1	1	14	1
228	17	1	1	1	1	1	13
229	1	1	1	1	44	24	33
230	2	1	1	1	13	60	1
231	2	1	1	1	1	2	34
232	12	1	1	1	1	2	7
233	2	1	1	1	31	2	1
234	2	1	1	1	1	8	1
235	2	1	1	1	1	2	35
236	1	1	1	1	1	61	10
237	1	10	1	14	1	1	1
238	2	1	1	1	1	5	1
239	1	10	1	1	1	1	1
240	1	10	1	1	5	5	1
241	1	11	1	14	2	1	1
242	2	1	1	1	1	3	3
243	1	1	1	1	2	17	33
244	1	1	1	1	1	28	1
